ID,Strain,Time,Air
SRR6926016,HON11,1,A
SRR6926017,HON11,1,A
SRR6926018,HON11,1,A
SRR6926008,HON11,1,A
SRR6925997,HON11,164,C
SRR6925994,HON11,164,C
SRR6925995,HON11,164,C
SRR6925979,HON11,164,C
SRR6925956,FW,72,A
SRR6925977,HON11,72,C
SRR6925957,HON11,72,C
SRR6925974,HON11,72,C
SRR6925959,HON11,72,C
SRR6925949,FW,24,A
SRR6925948,FW,24,A
SRR6925951,FW,24,A
SRR6925950,FW,24,A
SRR6925975,HON11,72,A
SRR6925968,HON11,72,A
SRR6925972,HON11,72,A
SRR6925980,HON11,72,A
SRR6925952,HON11,24,A
SRR6925955,HON11,24,A
SRR6925954,HON11,24,A
SRR6925945,HON11,24,A
SRR6925992,FW,72,C
SRR6925993,FW,72,C
SRR6925961,FW,72,C
SRR6925967,HON11,164,A
SRR6925966,HON11,164,A
SRR6925965,HON11,164,A
SRR6925964,HON11,164,A
SRR6926004,HON11,0,C
SRR6926005,HON11,0,C
SRR6926006,HON11,0,C
SRR6925981,FW,164,A
SRR6925971,FW,164,A
SRR6925970,FW,164,A
SRR6925985,HON11,6,A
SRR6925986,HON11,6,A
SRR6925987,HON11,6,A
SRR6925982,HON11,6,A
SRR6926000,FW,0,C
SRR6926010,FW,0,C
SRR6926001,FW,0,C
SRR6926002,FW,0,C
SRR6925988,FW,6,A
SRR6925989,FW,6,A
SRR6925990,FW,6,A
SRR6925991,FW,6,A
SRR6926011,FW,1,A
SRR6926012,FW,1,A
SRR6926013,FW,1,A
SRR6926014,FW,1,A
SRR6925946,FW,164,C
SRR6925941,FW,164,C
SRR6925998,FW,164,C
SRR6925999,FW,164,C
SRR6925962,FW,72,A
SRR6925947,FW,72,A
SRR6925944,HON11,24,A
SRR6926015,FW,1,A
SRR6925983,HON11,6,A
SRR6925984,FW,6,A
SRR6926007,HON11,0,C
SRR6925963,HON11,164,A
SRR6925969,FW,164,A
SRR6925943,FW,164,A
SRR6926009,HON11,1,A
SRR6926003,FW,0,C
SRR6925996,FW,164,C
SRR6925978,HON11,164,C
SRR6925953,FW,24,A
SRR6925958,HON11,72,C
SRR6925976,FW,72,A
SRR6925973,FW,72,A
SRR6925960,FW,72,C
SRR6925942,FW,72,C
